#{"t_start": 1701518668.677927, "env_id": "PandaReachJoints-v3"}
r,l,t
-50.0,50,69.084627
-50.0,50,69.246358
-50.0,50,69.393578
-50.0,50,69.545249
-28.0,29,69.65043
-50.0,50,69.84135
-50.0,50,70.014814
-50.0,50,70.17837
-49.0,50,70.721129
-29.0,30,70.816334
-50.0,50,70.964512
-30.0,31,71.059224
-50.0,50,71.210261
-40.0,41,71.336664
-50.0,50,71.509274
-23.0,24,71.579338
-50.0,50,71.757876
-50.0,50,71.957448
-50.0,50,72.124139
-50.0,50,72.277056
-1.0,2,72.283602
-50.0,50,72.811429
-50.0,50,72.971993
-50.0,50,73.134401
-50.0,50,73.284093
-50.0,50,73.438544
-50.0,50,73.596673
-50.0,50,73.759429
-12.0,13,73.798435
-50.0,50,73.976519
0.0,1,73.98068
-50.0,50,74.148082
-50.0,50,74.33544
-50.0,50,74.882157
-50.0,50,75.04368
-50.0,50,75.200141
-50.0,50,75.360296
-50.0,50,75.508703
-50.0,50,75.656765
0.0,1,75.660551
-20.0,21,75.722032
-50.0,50,75.871192
-50.0,50,76.038954
-50.0,50,76.221574
-50.0,50,76.407094
-50.0,50,76.950196
-50.0,50,77.119134
-50.0,50,77.272078
-11.0,12,77.308983
-50.0,50,77.456805
-50.0,50,77.619947
-6.0,7,77.63968
-34.0,35,77.751135
-23.0,24,77.823343
-50.0,50,77.971987
-50.0,50,78.138532
-21.0,22,78.216915
-50.0,50,78.392087
-3.0,4,78.40334
-12.0,13,78.44544
-50.0,50,79.015504
-50.0,50,79.162568
-50.0,50,79.307606
-50.0,50,79.45837
-50.0,50,79.636671
-50.0,50,79.802605
-50.0,50,79.954792
-50.0,50,80.110225
-21.0,22,80.186453
-50.0,50,80.352095
-5.0,6,80.375375
-50.0,50,80.922284
0.0,1,80.925706
-50.0,50,81.082292
-50.0,50,81.226237
-50.0,50,81.400747
-50.0,50,81.551742
-50.0,50,81.715707
-50.0,50,81.861749
-50.0,50,82.02299
-50.0,50,82.214337
-50.0,50,82.404912
-50.0,50,82.557772
-50.0,50,83.071997
-50.0,50,83.212016
-50.0,50,83.35933
-50.0,50,83.511382
-50.0,50,83.677277
-27.0,28,83.762167
-4.0,5,83.77519
-4.0,5,83.793857
-50.0,50,83.959665
-50.0,50,84.107334
-50.0,50,84.275118
-50.0,50,84.459104
-50.0,50,85.036866
-2.0,3,85.04618
-50.0,50,85.209252
-50.0,50,85.366044
-26.0,27,85.449819
-50.0,50,85.598357
-30.0,31,85.692102
