#{"t_start": 1701509713.808813, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,115.103081
-50.0,50,115.218732
-50.0,50,115.330986
-50.0,50,115.450163
-50.0,50,115.562648
-50.0,50,115.677133
-50.0,50,115.792567
-50.0,50,115.912781
-50.0,50,116.030947
-50.0,50,116.425876
-50.0,50,116.541567
-50.0,50,116.655979
-50.0,50,116.780501
-5.0,6,116.796965
-50.0,50,116.926345
-1.0,2,116.931233
-50.0,50,117.053985
-50.0,50,117.167935
-50.0,50,117.286437
-50.0,50,117.402897
-3.0,4,117.414179
-24.0,25,117.472856
-50.0,50,117.871972
-50.0,50,117.989142
-50.0,50,118.107899
-50.0,50,118.226984
-50.0,50,118.339523
-50.0,50,118.460767
-50.0,50,118.579889
-50.0,50,118.702639
-50.0,50,118.822021
-50.0,50,118.94683
0.0,1,118.949664
-50.0,50,119.354075
-50.0,50,119.474919
-50.0,50,119.605051
-5.0,6,119.622379
-50.0,50,119.745646
-50.0,50,119.873198
-50.0,50,119.988218
-50.0,50,120.109516
-50.0,50,120.223601
-50.0,50,120.343812
-50.0,50,120.465008
-50.0,50,120.868126
-50.0,50,120.984572
-50.0,50,121.101742
-50.0,50,121.21982
-50.0,50,121.344109
-50.0,50,121.46558
-50.0,50,121.58377
-50.0,50,121.700849
-3.0,4,121.710392
-50.0,50,121.835556
-50.0,50,121.952167
-3.0,4,121.963386
-50.0,50,122.360512
-50.0,50,122.484924
-50.0,50,122.601583
-50.0,50,122.733239
-50.0,50,122.852857
-50.0,50,122.972893
-50.0,50,123.125772
-50.0,50,123.258403
-50.0,50,123.386553
-50.0,50,123.522711
-50.0,50,123.652738
-50.0,50,124.083338
-50.0,50,124.205212
-50.0,50,124.327063
-50.0,50,124.446014
-50.0,50,124.57026
-18.0,19,124.614409
-50.0,50,124.730443
-50.0,50,124.846723
-50.0,50,124.974565
-50.0,50,125.098483
-50.0,50,125.225341
-2.0,3,125.513106
-50.0,50,125.63412
-26.0,27,125.698404
-23.0,24,125.75485
-50.0,50,125.874939
-50.0,50,125.990322
-50.0,50,126.112268
-50.0,50,126.234826
-50.0,50,126.360037
-50.0,50,126.473772
-7.0,8,126.494068
-50.0,50,126.611292
-50.0,50,126.730526
-50.0,50,127.132911
-50.0,50,127.249473
-4.0,5,127.260573
-9.0,10,127.281943
-50.0,50,127.396911
-50.0,50,127.512759
-50.0,50,127.627939
-50.0,50,127.746149
-50.0,50,127.86722
-50.0,50,127.986443
-50.0,50,128.107184
-50.0,50,128.504794
-50.0,50,128.623592
-1.0,2,128.628751
-6.0,7,128.645316
-49.0,50,128.78069
-1.0,2,128.785138
-50.0,50,128.90378
-50.0,50,129.030889
-50.0,50,129.147929
-50.0,50,129.266134
-50.0,50,129.382583
-50.0,50,129.501232
-50.0,50,129.617594
-50.0,50,129.740529
-4.0,5,130.035197
-50.0,50,130.153999
-50.0,50,130.269946
-50.0,50,130.391884
-50.0,50,130.51718
-50.0,50,130.646503
-50.0,50,130.769654
-50.0,50,130.892353
-5.0,6,130.906031
-50.0,50,131.025239
-50.0,50,131.155133
-50.0,50,131.273023
-2.0,3,131.571098
-1.0,2,131.575759
0.0,1,131.578163
-50.0,50,131.702179
-50.0,50,131.828397
-6.0,7,131.845356
-5.0,6,131.859256
-50.0,50,131.978387
-50.0,50,132.097871
-50.0,50,132.221192
-50.0,50,132.34856
-50.0,50,132.473895
-50.0,50,132.5902
-50.0,50,132.714903
-8.0,9,132.736524
-7.0,8,132.756924
-7.0,8,132.775203
-50.0,50,133.183668
-50.0,50,133.304887
-50.0,50,133.426159
-50.0,50,133.541626
-50.0,50,133.668243
-50.0,50,133.795792
-50.0,50,133.924616
-50.0,50,134.04373
-50.0,50,134.172606
-50.0,50,134.288229
-50.0,50,134.698337
-6.0,7,134.714665
-50.0,50,134.836551
-50.0,50,134.961775
-3.0,4,134.97193
-50.0,50,135.094112
-50.0,50,135.218916
-50.0,50,135.346426
-50.0,50,135.463564
-50.0,50,135.585838
-50.0,50,135.703291
-50.0,50,135.833916
-10.0,11,135.860564
-50.0,50,136.270822
-50.0,50,136.39043
-2.0,3,136.397281
-50.0,50,136.520252
-50.0,50,136.635052
-50.0,50,136.759347
-50.0,50,136.882783
-50.0,50,137.009159
-50.0,50,137.132718
-11.0,12,137.164727
-50.0,50,137.291986
-50.0,50,137.417385
-50.0,50,137.826585
-50.0,50,137.956209
-50.0,50,138.077802
-50.0,50,138.204256
-50.0,50,138.323024
-1.0,2,138.33046
-50.0,50,138.458248
-50.0,50,138.584242
-50.0,50,138.708727
-50.0,50,138.830966
-50.0,50,138.954584
-50.0,50,139.418145
-50.0,50,139.590453
-50.0,50,139.723668
-50.0,50,139.854546
-50.0,50,139.976946
-2.0,3,139.984386
-50.0,50,140.105515
-50.0,50,140.224664
-50.0,50,140.339517
-50.0,50,140.463937
-50.0,50,140.581597
-50.0,50,140.985538
-50.0,50,141.10716
-1.0,2,141.112649
-50.0,50,141.230235
-50.0,50,141.358491
-6.0,7,141.378159
-50.0,50,141.503382
-2.0,3,141.510744
-50.0,50,141.633671
-50.0,50,141.753737
-50.0,50,141.8864
-50.0,50,142.017101
-50.0,50,142.149732
-12.0,13,142.180981
-8.0,9,142.202199
-50.0,50,142.612051
-11.0,12,142.642981
-50.0,50,142.764179
-50.0,50,142.888373
-50.0,50,143.012353
-50.0,50,143.131598
-50.0,50,143.247255
-50.0,50,143.36834
-50.0,50,143.483663
-50.0,50,143.599599
-50.0,50,143.721086
-50.0,50,144.122072
-1.0,2,144.127091
-50.0,50,144.245844
-50.0,50,144.370065
-3.0,4,144.379695
0.0,1,144.382254
-50.0,50,144.508064
-50.0,50,144.626405
-13.0,14,144.659182
-11.0,12,144.688505
-50.0,50,144.804167
-50.0,50,144.922943
0.0,1,144.925729
-50.0,50,145.042679
-50.0,50,145.164066
-50.0,50,145.565287
-50.0,50,145.691599
-50.0,50,145.814588
-50.0,50,145.935795
-50.0,50,146.053789
-50.0,50,146.174299
-50.0,50,146.288263
-50.0,50,146.406189
-50.0,50,146.526541
-11.0,12,146.558746
-50.0,50,146.686927
-50.0,50,147.095336
-50.0,50,147.215907
-50.0,50,147.338606
-50.0,50,147.455582
-50.0,50,147.577016
-2.0,3,147.584378
-50.0,50,147.696761
-50.0,50,147.826889
-50.0,50,147.945904
-50.0,50,148.066237
-50.0,50,148.19032
-50.0,50,148.307922
-30.0,31,148.662434
-50.0,50,148.781794
-50.0,50,148.904853
-50.0,50,149.03539
-50.0,50,149.169514
-33.0,34,149.254165
-50.0,50,149.379003
-50.0,50,149.498228
-4.0,5,149.509799
-50.0,50,149.62265
-50.0,50,149.739221
-50.0,50,150.137955
-50.0,50,150.257394
-2.0,3,150.267078
-50.0,50,150.38586
