#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-0.105454,2,65.994569
-3.311138,24,66.500811
-0.546971,7,66.525211
-1.653022,12,66.569197
-1.719906,18,66.665593
-0.313112,4,66.68737
-0.43245,5,66.703053
-2.508235,20,66.774445
-0.411858,6,66.795702
-0.097139,2,66.802274
-0.228099,3,66.819474
-1.580562,10,66.848894
-3.359037,21,66.930881
-2.567258,27,67.038712
-0.285194,3,67.057513
-0.464599,5,67.082996
-1.445519,11,67.139986
-4.799336,45,67.337018
-3.307796,36,67.458327
-0.404969,5,67.477309
-3.114331,24,67.564288
-1.840214,15,67.621499
-1.479322,18,67.68377
-0.607799,7,67.714045
-5.729718,45,67.869674
-1.39762,13,67.922906
-0.986266,8,67.950365
-5.567782,50,68.138085
-6.648746,50,68.314402
-0.343431,4,68.327024
-0.421819,5,68.34403
-1.013379,8,68.369724
-2.173087,23,68.899879
-5.017997,50,69.073895
-2.23621,23,69.164207
-1.39837,17,69.238508
-1.576148,12,69.287668
-2.453623,28,69.407597
-2.208589,21,69.487802
-1.39781,20,69.555366
-5.751146,50,69.721566
-0.751221,8,69.750317
-1.286301,12,69.785351
-1.235271,10,69.822618
-4.737635,46,69.986751
-1.162678,10,70.021128
-0.358732,5,70.04088
-1.749702,14,70.096207
-0.783312,7,70.126607
-0.900271,8,70.156923
-0.606023,6,70.182112
-3.613339,28,70.284207
-0.213098,3,70.295387
-0.10264,2,70.30291
-0.573187,7,70.334248
-4.417144,32,70.452865
-2.959689,23,70.529057
-0.224163,4,70.543766
-2.685876,25,70.633423
-0.290173,4,70.646988
-0.846133,10,70.680415
-4.044382,29,71.217279
-4.076926,34,71.338886
-3.004065,27,71.440467
-0.739793,7,71.46501
-0.156182,2,71.471875
-1.584464,16,71.538441
-2.308922,21,71.617861
-1.181565,9,71.659116
-0.682787,6,71.685325
-1.184241,10,71.739918
-0.471302,4,71.753112
-0.790132,10,71.793334
-1.414563,12,71.836236
-1.805012,16,71.911457
-0.733146,6,71.927369
-0.837485,6,71.948926
-2.287657,22,72.029996
-1.197078,14,72.078462
-0.039818,1,72.082592
-0.967487,9,72.125577
-2.693809,21,72.205264
-0.647338,8,72.228515
-0.797504,8,72.257252
-2.171624,19,72.32426
-0.790117,6,72.3459
-0.046604,1,72.349219
-0.154634,2,72.356055
-0.431637,6,72.377054
-0.355343,5,72.397819
-0.403981,6,72.423338
-0.820341,8,72.452479
-1.30086,11,72.504316
-2.042059,20,72.588284
-1.230923,10,72.626784
-0.653859,8,72.654502
-0.3316,4,72.67547
-1.410004,13,72.733267
-0.174706,3,72.743572
-1.204768,16,72.807009
-0.653184,9,72.840331
-0.336638,5,72.855963
-5.524716,43,73.006974
-1.018596,12,73.046432
-2.428373,23,73.123535
-1.048029,7,73.5403
-0.740689,8,73.568689
-1.063137,9,73.604421
-0.275409,4,73.618455
-0.795574,7,73.649544
-0.421349,4,73.664858
-0.900789,10,73.704408
-0.106755,2,73.713962
-1.851192,19,73.785465
-0.414876,5,73.806932
-0.697065,8,73.835235
-0.280146,4,73.849296
-1.20282,14,73.901726
-0.364542,4,73.915514
-1.028083,7,73.939078
-1.020151,9,73.983455
-0.471675,6,74.00704
-1.282044,10,74.047352
-0.377891,4,74.060032
-0.937253,13,74.110001
-0.890916,10,74.139586
-1.373677,13,74.190363
-0.102215,2,74.197037
-0.760823,9,74.232829
-1.501655,12,74.281883
-1.131677,12,74.322464
-2.688117,26,74.414819
-0.805071,8,74.436143
-0.290859,3,74.446573
-1.067133,10,74.485326
-0.763711,7,74.50743
-0.922065,13,74.55375
-2.00934,18,74.616719
-0.843068,10,74.645913
-0.306744,4,74.660509
-0.61846,6,74.691171
-0.27858,4,74.704034
-0.340352,4,74.7203
-0.812634,6,74.742304
-2.607317,28,74.854976
-0.034339,1,74.858523
-0.512095,6,74.880303
-0.481529,6,74.899015
-0.699251,6,74.929638
-0.597702,8,74.962196
-0.904505,8,75.003222
-0.732449,7,75.028808
-0.431086,4,75.04575
-0.823373,10,75.094837
-1.727207,19,75.167921
-0.200357,3,75.177592
-1.431271,13,75.226771
-2.406067,25,75.315943
-0.726755,6,75.333538
-0.035493,1,75.33656
-1.389952,13,75.383128
-3.212076,30,75.90294
-0.416315,5,75.921446
-1.2223,12,75.97781
-0.153588,3,75.988709
-1.080401,11,76.043379
-1.913442,19,76.117646
-0.97897,10,76.153483
-0.386076,4,76.167133
-0.744944,7,76.20233
-1.746194,14,76.24916
-0.806544,7,76.27607
-3.476689,23,76.349753
-1.724991,20,76.415982
-0.513729,8,76.438305
-3.381131,27,76.528516
-1.122817,12,76.56464
-0.35655,5,76.579594
-0.409175,4,76.596438
-1.357546,11,76.634455
-0.386403,6,76.656424
-2.843762,25,76.739114
